Bobby Lee, Bobby, Lee
Ellie May, Ellie, May
Lilly Rose, Lilly, Rose
Betty Jane, Betty, Jane
Grace Marie, Grace, Marie
Alfie James, Alfie, James
Mary Anne, Mary, Anne
Ella Louise, Ella, Louise
Lucy Jo, Lucy, Jo
Casey Lou, Casey, Lou
Tyler John, Tyler, John
Alicia Dee, Alicia, Dee
Alfie Ray, Alfie, Ray
Ava Sue, Ava, Sue
Billy James, Billy, James
Charlie Junior, Charlie, Junior
Joshua Dean, Joshua, Dean
Susie Beth, Susie, Beth
Tammy Eve, Tammy, Eve
Milly Ruth, Milly, Ruth
Eliza Viv, Eliza, Viv
Sarah Suze, Sarah, Suze
Georgie Nate, Georgie, Nate
Liza Belle, Liza, Belle
Tony Abdul, Tony, Abdul
Kelly Kim, Kelly, Kim
Carol Kay, Carol, Kay
George Henry, George, Henry
Chuck Micheal, Chuck, Micheal 
Marnie Leigh, Marnie, Leigh
Bobby Lee, Bobby, Lee
Ellie May, Ellie, May
Lilly Rose, Lilly, Rose
Betty Jane, Betty, Jane
Grace Marie, Grace, Marie
Alfie James, Alfie, James
Mary Anne, Mary, Anne
Ella Louise, Ella, Louise
Lucy Jo, Lucy, Jo
Casey Lou, Casey, Lou
Tyler John, Tyler, John
Alicia Dee, Alicia, Dee
Alfie Ray, Alfie, Ray
Ava Sue, Ava, Sue
Billy James, Billy, James
Charlie Junior, Charlie, Junior
Joshua Dean, Joshua, Dean
Susie Beth, Susie, Beth
Tammy Eve, Tammy, Eve
Milly Ruth, Milly, Ruth
Eliza Viv, Eliza, Viv
Sarah Suze, Sarah, Suze
Georgie Nate, Georgie, Nate
Liza Belle, Liza, Belle
Tony Abdul, Tony, Abdul
Kelly Kim, Kelly, Kim
Carol Kay, Carol, Kay
George Henry, George, Henry
Chuck Micheal, Chuck, Micheal 
Marnie Leigh, Marnie, Leigh

