ID,Image,TrialType,Mean,Median
1,1,1,70.5,81
1,2,1,48.2,30
1,3,1,62.7,63
1,4,1,76.5,82
1,5,1,70.0,80
2,1,1,85.1,100
2,2,1,71.5,93
2,3,1,80.7,100
2,4,1,79.4,95.5
2,5,1,76.3,100
3,1,1,72.5,84.5
3,2,1,66.1,88.5
3,3,1,87.1,100
3,4,1,70.1,79
3,5,1,75.5,77
4,1,1,90.1,100
4,2,1,84.1,86.5
4,3,1,89.1,100
4,4,1,91.8,100
4,5,1,54.6,57
5,1,1,95.7,100
5,2,1,69.2,82.5
5,3,1,87.3,100
5,4,1,94.3,100
5,5,1,95.3,100
6,1,1,74.1,75
6,2,1,58.5,50
6,3,1,80.5,84
6,4,1,55.0,54
6,5,1,59.2,80
7,1,1,50.3,56
7,2,1,77.8,84
7,3,1,59.0,67
7,4,1,85.0,93
7,5,1,80.7,86
8,1,1,70.1,76
8,2,1,84.3,87
8,3,1,84.1,90
8,4,1,91.8,94
8,5,1,73.7,81
9,1,1,64.9,80
9,2,1,85.7,97
9,3,1,89.9,98
9,4,1,69.0,82
9,5,1,86.2,98
10,1,1,86.0,91
10,2,1,94.2,100
10,3,1,75.9,91
10,4,1,82.7,97.5
10,5,1,79.0,89.5
11,1,1,90.4,92.5
11,2,1,93.1,99.5
11,3,1,90.1,97.5
11,4,1,85.8,90
11,5,1,92.4,100
12,1,1,71.2,84
12,2,1,72.4,81
12,3,1,70.1,82
12,4,1,84.4,96
12,5,1,76.9,81
13,1,1,35.0,25.5
13,2,1,61.8,75
13,3,1,61.1,74
13,4,1,26.3,21.5
13,5,1,32.9,22.5
14,1,1,56.4,58.5
14,2,1,65.8,81
14,3,1,71.1,77.5
14,4,1,55.6,62.5
14,5,1,51.6,41.5
15,1,1,33.7,16
15,2,1,38.1,21
15,3,1,60.9,73.5
15,4,1,69.6,77.5
15,5,1,82.8,85.5
16,1,1,81.0,97
16,2,1,69.7,81
16,3,1,72.7,79
16,4,1,78.1,95
16,5,1,84.4,88
17,1,1,67.5,76
17,2,1,61.7,66
17,3,1,65.9,68
17,4,1,67.0,74
17,5,1,76.5,85
18,1,1,53.3,60
18,2,1,46.2,33
18,3,1,52.5,51
18,4,1,33.0,20
18,5,1,57.1,70
19,1,1,71.1,80
19,2,1,55.1,62.5
19,3,1,72.6,84
19,4,1,70.2,81.5
19,5,1,75.6,89.5
20,1,1,41.8,33.5
20,2,1,38.9,38
20,3,1,48.8,52.5
20,4,1,31.1,32
20,5,1,56.1,67
21,1,1,78.8125,90.5
21,2,1,90.6875,98.5
21,3,1,82.125,98.5
21,4,1,88.625,100
21,5,1,70.125,80
22,1,1,75.73333333,88
22,2,1,87.66666667,95
22,3,1,83.6,100
22,4,1,77.33333333,83
22,5,1,64.93333333,74
23,1,1,58.84615385,62
23,2,1,71.69230769,76
23,3,1,71.53846154,80
23,4,1,81.15384615,83
23,5,1,82.38461538,87
24,1,1,87.46666667,90
24,2,1,89.33333333,100
24,3,1,87.8,96
24,4,1,91.66666667,100
24,5,1,76.4,81
25,1,1,91.57142857,100
25,2,1,89.92857143,100
25,3,1,77.42857143,87
25,4,1,89.35714286,100
25,5,1,77.57142857,92
26,1,1,86.1875,100
26,2,1,82.9375,97.5
26,3,1,88.375,94
26,4,1,84.9375,100
26,5,1,81.9375,96.5
27,1,1,74.84615385,81
27,2,1,87.69230769,100
27,3,1,70.30769231,87
27,4,1,79.69230769,89
